#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2011-12-20 10:35:40
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2011-12-20 10:35:40 W3SVC60 208.123.218.206 GET /login.php - 80 - 66.249.17.166 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10.5;+en-US;+rv:1.9.2.13)+Gecko/20101203+Firefox/3.6.13+GTB7.1 200 0 64
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2011-12-20 14:58:47
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2011-12-20 14:58:53 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/mylist.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:53 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/mysearch.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:53 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/4.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:53 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/3.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:53 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/red_deer.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:53 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/1.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:53 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/5.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:53 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/countygrad.jpg - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:53 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/2.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:53 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/sylvan_lake.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:53 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/innisfail.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:53 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/bowden.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
2011-12-20 14:58:53 W3SVC60 208.123.218.206 GET /rd_county_tmp/images/penhold.png - 80 - 70.74.161.26 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_2)+AppleWebKit/534.52.7+(KHTML,+like+Gecko)+Version/5.1.2+Safari/534.52.7 200 0 0
