#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2015-03-14 05:41:20
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2015-03-14 05:41:20 W3SVC60 208.123.218.206 GET /robots.txt - 80 - 66.249.75.30 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) 404 0 2
2015-03-14 05:41:20 W3SVC60 208.123.218.206 GET /images/emailimg.png - 80 - 66.249.75.30 Googlebot-Image/1.0 200 0 0
2015-03-14 05:43:32 W3SVC60 208.123.218.206 GET /images/passwordimg.png - 80 - 66.249.75.238 Googlebot-Image/1.0 200 0 0
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2015-03-14 18:30:44
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2015-03-14 18:30:43 W3SVC60 208.123.218.206 GET /login.php - 80 - 213.47.217.101 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/40.0.2214.115+Safari/537.36 200 0 0
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2015-03-14 23:26:25
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2015-03-14 23:28:32 W3SVC60 208.123.218.206 GET /users.php - 80 - 96.53.55.202 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+6_1_4+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+Version/6.0+Mobile/10B350+Safari/8536.25 200 0 0
2015-03-14 23:28:32 W3SVC60 208.123.218.206 GET /style.css version=1 80 - 96.53.55.202 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+6_1_4+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+Version/6.0+Mobile/10B350+Safari/8536.25 200 0 0
2015-03-14 23:28:32 W3SVC60 208.123.218.206 GET /images/agentpage.jpg - 80 - 96.53.55.202 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+6_1_4+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+Version/6.0+Mobile/10B350+Safari/8536.25 200 0 0
2015-03-14 23:28:32 W3SVC60 208.123.218.206 GET /images/sort_asc.gif - 80 - 96.53.55.202 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+6_1_4+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+Version/6.0+Mobile/10B350+Safari/8536.25 200 0 0
2015-03-14 23:28:32 W3SVC60 208.123.218.206 GET /images/Cec+Baerg.jpg - 80 - 96.53.55.202 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+6_1_4+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+Version/6.0+Mobile/10B350+Safari/8536.25 200 0 0
2015-03-14 23:28:32 W3SVC60 208.123.218.206 GET /images/maphint.png - 80 - 96.53.55.202 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+6_1_4+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+Version/6.0+Mobile/10B350+Safari/8536.25 200 0 0
2015-03-14 23:28:33 W3SVC60 208.123.218.206 GET /images/Bobbi+Moman.jpg - 80 - 96.53.55.202 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+6_1_4+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+Version/6.0+Mobile/10B350+Safari/8536.25 200 0 0
2015-03-14 23:28:33 W3SVC60 208.123.218.206 GET /images/John+Krol.jpg - 80 - 96.53.55.202 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+6_1_4+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+Version/6.0+Mobile/10B350+Safari/8536.25 200 0 0
2015-03-14 23:28:33 W3SVC60 208.123.218.206 GET /images/noman.jpg - 80 - 96.53.55.202 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+6_1_4+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+Version/6.0+Mobile/10B350+Safari/8536.25 200 0 0
2015-03-14 23:28:33 W3SVC60 208.123.218.206 GET /images/Jane+Friesen.jpg - 80 - 96.53.55.202 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+6_1_4+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+Version/6.0+Mobile/10B350+Safari/8536.25 200 0 0
2015-03-14 23:28:33 W3SVC60 208.123.218.206 GET /images/D'arcy+Donald.jpg - 80 - 96.53.55.202 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+6_1_4+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+Version/6.0+Mobile/10B350+Safari/8536.25 200 0 0
2015-03-14 23:28:33 W3SVC60 208.123.218.206 GET /images/bg.jpg - 80 - 96.53.55.202 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+6_1_4+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+Version/6.0+Mobile/10B350+Safari/8536.25 200 0 0
2015-03-14 23:28:33 W3SVC60 208.123.218.206 GET /images/Cheryl+Schindel.jpg - 80 - 96.53.55.202 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+6_1_4+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+Version/6.0+Mobile/10B350+Safari/8536.25 200 0 0
2015-03-14 23:28:33 W3SVC60 208.123.218.206 GET /images/Tony-Blum-Main-3.png - 80 - 96.53.55.202 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+6_1_4+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+Version/6.0+Mobile/10B350+Safari/8536.25 200 0 0
2015-03-14 23:28:33 W3SVC60 208.123.218.206 GET /images/Screen+Shot+2011-11-17+at+7.15.01+AM.png - 80 - 96.53.55.202 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+6_1_4+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+Version/6.0+Mobile/10B350+Safari/8536.25 200 0 0
2015-03-14 23:28:33 W3SVC60 208.123.218.206 GET /images/Screen+Shot+2011-11-17+at+8.04.48+AM.png - 80 - 96.53.55.202 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+6_1_4+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+Version/6.0+Mobile/10B350+Safari/8536.25 200 0 0
2015-03-14 23:28:33 W3SVC60 208.123.218.206 GET /images/Brandi+Martin.jpg - 80 - 96.53.55.202 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+6_1_4+like+Mac+OS+X)+AppleWebKit/536.26+(KHTML,+like+Gecko)+Version/6.0+Mobile/10B350+Safari/8536.25 200 0 0
